experiment,model,train_data,calibration_data,test_data,calibration,n_matches,accuracy,macro_f1,log_loss,brier,rps
final_2026_nn,Neural Network,<=2025,none,2026,none,359,0.5710306406685237,0.40835900961693533,0.8834401211491488,0.5218784323648692,0.16407433122635307
final_2026_nn,Neural Network,<=2023,2024-2025,2026,sigmoid,359,0.5626740947075209,0.452014652014652,0.8880940167489929,0.5218239289290019,0.16482991215218537
final_2026_nn,Neural Network,<=2023,2024-2025,2026,isotonic,359,0.5710306406685237,0.42219056954146356,0.8865357545680036,0.5244620744509337,0.16541371856166134
final_2026_nn,Majority baseline,<=2025,none,2026,none,359,0.4986072423398329,0.2218091697645601,1.0444231679859417,0.6276520034574337,0.18879026864861076
